70,HGPO,"R$ 306,92","1,50",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HGPO11
71,HGRE,"R$ 128,16","0,78",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HGRE11
72,HGCR,"R$ 106,50","0,95",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HGCR11
73,HGRU,"R$ 136,50","0,85",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/HGRU11
74,CVPR,"R$ 0,00","0,25",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CVPR11
75,CYCR,"R$ 9,63","0,10",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CYCR11
76,CYLD,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/CYLD11
77,DLMT,"R$ 0,00","0,00",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/DLMT11
78,DPRO,"R$ 7,58","0,05",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/DPRO11
79,DEVA,"R$ 41,69","0,60",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/DEVA11
80,DAMT,"R$ 11,98","0,04",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/DAMT11
81,EGYR,"R$ 4,85",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/EGYR11
82,EQIR,"R$ 8,95","0,08",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/EQIR11
83,ERCR,"R$ 76.000,00","139,45",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ERCR11
84,ERPA,"R$ 135,00","0,72",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/ERPA11
85,KEVE,"R$ 1.130,02","1,35",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/KEVE11
86,EXES,"R$ 87,63","0,84",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/EXES11
87,FLCR,"R$ 99,20","1,10",24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FLCR11
88,FAGL,"R$ 0,00",N/A,24-03-26  19:35:49,https://www.fundsexplorer.com.br/funds/FAGL11
